id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
0y8y8ZEUoqRe1t1o8sxNE3,0.594,0.779,-4.675,0.0565,0.0,0.366,0.464,137.116,13
0T4YziOpifV4Eo9XsMPp2X,0.634,0.409,-5.517,0.0501,0.0,0.102,0.249,116.112,17
1m4Q4BxRmuRHOCVsesAHTH,0.6,0.616,-3.046,0.0365,0.0,0.11,0.14,86.942,13
3CRnA1WqtVl4TdS2zv0etr,0.643,0.657,-2.167,0.048,0.0,0.0846,0.377,93.961,13
1NKbgxvn11sZCsUh64nDmh,0.787,0.619,-3.67,0.103,0.0,0.124,0.676,124.64,7
3HIIJAt82X8huRUu5eC7lh,0.774,0.782,-1.434,0.0492,0.0,0.0903,0.58,95.043,7
6irLtyOh1KLw9FsjJgo1MZ,0.872,0.647,-6.635,0.236,0.016,0.0786,0.675,124.987,25
1G391cbiT3v3Cywg8T7DM1,0.595,0.717,-4.803,0.0295,0.00274,0.108,0.547,88.969,13
21RySuiEbDdwCYpcOdqlgn,0.761,0.846,-7.605,0.0681,0.121,0.291,0.43,121.001,17
26G2vdNVKVEP2RRrfF52Kk,0.806,0.43,-13.023,0.0439,0.896,0.106,0.532,122.018,15
6fxq63aKjMmi1WMI9iKX5w,0.671,0.497,-9.787,0.0552,0.536,0.101,0.114,95.005,10
23oEqwlofC2U7YJveAtuWK,0.33,0.4,-8.213,0.0379,0.0,0.291,0.117,138.305,14
4rmNDpeqH5M4S84peoaJH9,0.686,0.422,-10.234,0.0341,0.159,0.119,0.0386,97.02,17
38H3uWv0oeL3DXXKzERlrC,0.723,0.573,-10.216,0.0628,0.933,0.115,0.312,120.017,10
4inIut43RHWSFUNpKLD6l1,0.84,0.694,-6.536,0.0365,0.0363,0.104,0.562,123.984,7
09D87IUlUQKQuxylV0mOpq,0.657,0.36,-12.132,0.0352,0.85,0.106,0.357,119.966,10
52Xchs0kshC2EvWqcjzR5g,0.609,0.6,-7.626,0.391,0.0,0.172,0.799,74.437,25
7CNlGUOnrvXoluTbTc1DjU,0.753,0.804,-4.99,0.343,0.0,0.0832,0.658,128.438,25
77YLeSEI8unMbZVWNUqioQ,0.862,0.703,-5.318,0.0976,1.12e-05,0.0499,0.591,119.979,7
5jFTMXOiGO0o9z5WyFr2y7,0.307,0.422,-12.067,0.0296,0.00231,0.931,0.128,98.197,19
5uJAxWHkaW49n4cXWUP4Xw,0.451,0.47,-6.921,0.0379,6.6e-06,0.104,0.325,127.624,17
1wT5dtQ8Ogc9S836876V1G,0.61,0.434,-10.295,0.379,0.0,0.123,0.215,129.588,17
6HDhKOJoVrYczSFhGqwUT6,0.638,0.807,-5.603,0.124,0.0,0.288,0.726,93.68,7
2ZWlPOoWh0626oTaHrnl2a,0.567,0.388,-9.579,0.0384,0.000309,0.248,0.452,116.362,17
1rciHe0jRJnF3J6CuAwOH0,0.841,0.718,-7.391,0.0882,0.00148,0.0873,0.654,110.702,7
0xwDBz5S9Qw7vpzy3O3Q7f,0.551,0.596,-10.336,0.159,0.231,0.117,0.203,86.818,22
77kMHM0D2MgGTjoL2308Lm,0.729,0.72,-6.69,0.0371,0.353,0.178,0.0388,122.015,10
0qVVWRuQfuVV3Qfeb6E9fi,0.805,0.638,-7.137,0.0451,0.00299,0.584,0.661,122.99,9
